latitude,longitude,event_date,historical_landslide
26.463729,93.446851,2025-09-13,0
23.163367,92.890406,2024-06-01,0
28.152825,95.157224,2024-07-07,0
25.610245,93.795997,2025-05-31,0
23.39112,92.411991,2023-08-03,0
27.510278,96.025177,2025-06-01,0
29.00634,94.24856,2024-05-28,0
27.959768,93.235945,2014-09-23,0
26.379686,90.460511,2013-08-28,0
24.907849,94.004507,2012-06-07,0
28.202527,94.899033,2025-05-31,0
26.38018,92.515972,2025-06-25,0
28.65297,95.31841,2007-08-28,0
25.269592,91.024835,2023-09-27,0
25.366164,94.461493,2024-07-02,0
28.147521,94.716673,2024-06-28,0
26.268132,94.168649,2024-05-28,0
26.083514,93.522465,2024-10-04,0
26.601448,93.601148,2024-07-02,0
24.15858,92.018557,2024-09-24,0
26.292357,95.023315,2024-05-28,0
26.519943,90.6476,2025-06-11,0
27.193402,92.487861,2016-04-23,0
26.53334,92.380854,2025-05-31,0
27.866807,88.79395,2025-05-31,0
28.500297,95.80211,2024-06-17,0
26.628634,91.757556,2025-05-31,0
26.088517,91.909109,2025-05-30,0
24.460136,93.973828,2024-05-28,0
24.220985,93.783445,2025-05-31,0
23.954213,91.636002,2024-07-02,0
24.865074,93.972289,2016-05-22,0
25.629587,91.050251,2024-05-28,0
29.106735,95.993175,2016-05-22,0
29.052951,94.279385,2016-05-22,0
27.219002,92.262175,2024-05-28,0
24.541466,92.231465,2024-05-28,0
26.184535,93.989692,2025-05-30,0
26.496271,91.354061,2024-05-28,0
25.757585,92.779348,2025-05-31,0
25.636532,91.978014,2025-05-31,0
26.284343,91.742207,2024-07-02,0
27.673675,95.58938,2025-06-01,0
26.922652,94.719341,2024-05-24,0
27.509529,93.954254,2016-05-22,0
23.805201,92.288421,2009-06-20,0
26.487858,91.455015,2017-06-13,0
26.112282,92.752977,2016-05-22,0
27.416401,92.236234,2025-05-31,0
27.995504,96.986194,2024-07-02,0
25.890855,94.558102,2023-04-13,0
27.256378,94.305877,2016-06-22,0
22.669703,92.736961,2012-06-22,0
27.126705,93.126159,2021-08-22,0
27.242974,88.518896,2024-05-28,0
27.569235,93.109273,2025-05-31,0
28.913347,96.289189,2024-06-01,0
24.039511,94.183911,2017-07-09,0
24.920225,94.04579,2025-06-01,0
26.222396,94.108464,2018-08-23,0
28.58364,94.340556,2024-06-18,0
26.410757,91.51373,2022-10-15,0
27.350908,93.572684,2025-06-01,0
23.531309,92.858399,2024-05-28,0
25.213681,93.350167,2017-07-04,0
27.10073,93.93044,2020-06-02,0
25.157346,90.472015,2016-05-22,0
27.791563,92.942553,2025-06-01,0
28.524425,95.346083,2024-05-28,0
24.928346,93.574312,2025-06-01,0
25.838926,94.555641,2025-06-01,0
27.169327,94.619202,2025-06-01,0
26.123043,91.908998,2025-05-31,0
25.114774,93.473721,2023-10-02,0
26.230745,91.892269,2024-05-26,0
25.64667,92.079661,2018-05-18,0
26.174956,91.595953,2024-06-15,0
27.300646,94.378307,2007-09-10,0
25.681866,90.953997,2024-07-02,0
26.124846,93.00418,2008-06-19,0
25.722462,92.2455,2024-05-28,0
25.940242,92.19692,2024-07-02,0
25.638804,90.116149,2024-07-02,0
