latitude,longitude,historical_landslide,state
27.032817,94.935577,0,Assam
25.743297,90.067652,0,Meghalaya
26.041219,94.121612,0,Nagaland
26.374799,90.084598,0,Assam
27.194172,95.587488,0,Arunachal Pradesh
27.431934,95.599793,0,Assam
26.094646,91.570769,0,Assam
24.685733,93.988125,0,Manipur
23.51677,91.492242,0,Tripura
26.524303,94.10423,0,Assam
27.092383,93.247974,0,Arunachal Pradesh
27.780143,95.935616,0,Arunachal Pradesh
24.917529,94.173825,0,Manipur
23.917409,93.289509,0,Mizoram
23.590627,91.766922,0,Tripura
27.364125,88.12026,0,Sikkim
25.981229,94.420794,0,Nagaland
26.763859,90.520639,0,Assam
23.284557,92.718124,0,Mizoram
26.748714,90.817881,0,Assam
28.199078,96.272814,0,Arunachal Pradesh
27.664261,88.662968,0,Sikkim
26.077811,92.480254,0,Assam
27.433433,93.08202,0,Arunachal Pradesh
25.835268,92.13072,0,Meghalaya
26.367597,91.190527,0,Assam
25.454824,91.99421,0,Meghalaya
27.007719,94.866056,0,Assam
24.036345,91.978257,0,Tripura
22.320763,93.1857,0,Mizoram
23.548682,92.577633,0,Mizoram
25.123555,92.289667,0,Meghalaya
27.346714,93.236868,0,Arunachal Pradesh
27.569235,93.109273,0,Arunachal Pradesh
27.021627,93.605998,0,Arunachal Pradesh
26.601448,93.601148,0,Assam
26.332703,91.953283,0,Assam
28.557346,96.292952,0,Arunachal Pradesh
27.234816,95.850005,0,Arunachal Pradesh
29.00634,94.24856,0,Arunachal Pradesh
26.491933,90.572559,0,Assam
23.926758,93.974527,0,Manipur
24.022309,91.994183,0,Tripura
26.091935,94.980321,0,Nagaland
28.417608,95.496331,0,Arunachal Pradesh
28.593956,95.345865,0,Arunachal Pradesh
26.611081,91.832509,0,Assam
29.286876,96.140114,0,Arunachal Pradesh
28.573497,95.634044,0,Arunachal Pradesh
27.483356,88.245337,0,Sikkim
28.442906,95.553795,0,Arunachal Pradesh
28.401733,96.211192,0,Arunachal Pradesh
24.236878,92.339442,0,Mizoram
24.947982,94.042622,0,Manipur
25.788962,93.711037,0,Nagaland
26.279388,91.633386,0,Assam
27.354403,93.074085,0,Arunachal Pradesh
26.987128,94.987081,0,Assam
24.425095,94.256541,0,Manipur
24.165113,91.795123,0,Tripura
26.063764,90.84143,0,Assam
26.304951,92.053523,0,Assam
25.439498,94.166934,0,Manipur
24.462635,93.962333,0,Manipur
27.593036,95.705975,0,Assam
25.515872,90.31399,0,Meghalaya
26.679596,91.908311,0,Assam
23.776244,92.659756,0,Mizoram
27.735336,95.071822,0,Assam
22.317978,92.881427,0,Mizoram
25.738953,94.773913,0,Nagaland
27.536722,96.446595,0,Arunachal Pradesh
23.890691,92.474539,0,Mizoram
26.739021,90.336525,0,Assam
24.006635,93.904121,0,Manipur
22.98143,93.090068,0,Mizoram
26.023681,91.843996,0,Meghalaya
23.496656,91.920844,0,Tripura
27.174481,93.503008,0,Arunachal Pradesh
27.701834,96.066097,0,Arunachal Pradesh
29.115468,96.035224,0,Arunachal Pradesh
27.565774,91.951368,0,Arunachal Pradesh
26.480063,93.146284,0,Assam
26.187602,91.716345,0,Assam
28.201025,95.081649,0,Arunachal Pradesh
27.819527,94.124053,0,Arunachal Pradesh
27.616329,94.139194,0,Arunachal Pradesh
23.580421,93.313964,0,Mizoram
27.711644,94.587697,0,Arunachal Pradesh
29.200439,95.714225,0,Arunachal Pradesh
26.660608,94.504497,0,Nagaland
24.508114,92.768649,0,Assam
28.128826,95.998822,0,Arunachal Pradesh
28.176814,93.987191,0,Arunachal Pradesh
25.578797,93.071461,0,Assam
27.441675,92.106978,0,Arunachal Pradesh
26.53334,92.380854,0,Assam
27.359255,88.817142,0,Sikkim
27.645917,92.605239,0,Arunachal Pradesh
26.801045,94.50445,0,Assam
25.501754,93.479283,0,Nagaland
25.142342,93.003298,0,Assam
27.676208,93.049756,0,Arunachal Pradesh
27.393199,92.564072,0,Arunachal Pradesh
24.004481,93.033503,0,Mizoram
25.254967,92.424928,0,Meghalaya
24.226678,93.303342,0,Manipur
25.33057,92.924809,0,Assam
26.528066,93.850339,0,Assam
29.071516,94.969589,0,Arunachal Pradesh
24.13203,93.594492,0,Manipur
25.357037,94.620812,0,Manipur
28.893309,94.474138,0,Arunachal Pradesh
28.966742,94.227826,0,Arunachal Pradesh
26.038366,92.008878,0,Assam
28.77666,94.100464,0,Arunachal Pradesh
26.223839,95.052957,0,Nagaland
27.206171,94.486294,0,Assam
22.545437,92.654286,0,Mizoram
27.631649,88.390532,0,Sikkim
26.84324,92.435305,0,Assam
26.717371,93.514761,0,Assam
22.626721,92.634832,0,Mizoram
28.39526,94.311965,0,Arunachal Pradesh
24.307067,92.287952,0,Assam
25.812843,91.811806,0,Meghalaya
25.050103,93.113018,0,Assam
26.646808,95.123325,0,Nagaland
27.195005,92.13087,0,Arunachal Pradesh
25.769763,94.748808,0,Nagaland
24.826872,93.194535,0,Manipur
28.442627,96.278495,0,Arunachal Pradesh
28.115419,92.785353,0,Arunachal Pradesh
23.058355,92.615228,0,Mizoram
24.53741,93.075293,0,Manipur
26.029844,93.200667,0,Assam
24.361706,92.292828,0,Assam
23.697809,93.387552,0,Mizoram
27.24752,95.012981,0,Assam
28.11691,94.251382,0,Arunachal Pradesh
28.485324,93.560361,0,Arunachal Pradesh
25.378838,92.956569,0,Assam
28.350347,94.121163,0,Arunachal Pradesh
28.40737,96.024822,0,Arunachal Pradesh
27.655228,94.768681,0,Assam
28.739126,94.536335,0,Arunachal Pradesh
27.931742,88.444673,0,Sikkim
27.904468,93.332375,0,Arunachal Pradesh
26.36205,91.260844,0,Assam
25.133349,94.018716,0,Manipur
23.725228,92.55476,0,Mizoram
26.266021,93.388728,0,Assam
26.199169,90.592602,0,Assam
27.544349,94.459234,0,Assam
24.591575,93.719086,0,Manipur
26.612809,93.996899,0,Assam
27.36568,94.3837,0,Assam
28.249287,94.20901,0,Arunachal Pradesh
24.26504,94.088298,0,Manipur
26.301859,92.156319,0,Assam
27.558576,95.593779,0,Assam
27.995292,97.105214,0,Arunachal Pradesh
27.003684,92.287577,0,Arunachal Pradesh
26.339385,94.332715,0,Nagaland
29.01659,95.743519,0,Arunachal Pradesh
28.784007,95.757037,0,Arunachal Pradesh
25.647487,90.873531,0,Meghalaya
27.532844,94.315281,0,Assam
25.011482,92.61247,0,Assam
25.2769,91.495523,0,Meghalaya
26.769448,94.242732,0,Assam
27.698543,88.657306,0,Sikkim
27.885391,88.152027,0,Sikkim
25.899311,94.9849,0,Nagaland
28.464858,95.375108,0,Arunachal Pradesh
25.387225,92.914268,0,Assam
24.962574,92.515032,0,Assam
25.629758,94.462036,0,Nagaland
26.066919,93.96361,0,Assam
25.35466,92.999866,0,Assam
28.358079,94.609455,0,Arunachal Pradesh
27.727182,94.131316,0,Arunachal Pradesh
25.35303,91.19848,0,Meghalaya
23.088786,91.530973,0,Tripura
26.166487,93.525435,0,Assam
28.473221,95.065427,0,Arunachal Pradesh
24.586496,93.656526,0,Manipur
28.015113,93.409196,0,Arunachal Pradesh
29.274387,95.957268,0,Arunachal Pradesh
28.182485,96.746249,0,Arunachal Pradesh
25.595085,94.234929,0,Nagaland
23.995868,92.167797,0,Tripura
24.071726,92.053763,0,Tripura
25.602393,94.390486,0,Nagaland
26.450504,91.728031,0,Assam
27.561999,88.084997,0,Sikkim
25.704968,94.627239,0,Nagaland
28.007428,95.846332,0,Arunachal Pradesh
28.4282,96.671779,0,Arunachal Pradesh
26.255393,93.424793,0,Assam
25.083566,94.682023,0,Manipur
28.20179,93.823058,0,Arunachal Pradesh
25.883333,93.548054,0,Assam
28.103371,94.850106,0,Arunachal Pradesh
27.66135,93.675222,0,Arunachal Pradesh
27.658805,95.104549,0,Assam
26.721236,93.318873,0,Assam
28.444282,93.883189,0,Arunachal Pradesh
25.341102,90.930341,0,Meghalaya
25.422365,92.779056,0,Assam
27.899187,93.223219,0,Arunachal Pradesh
26.845708,95.625059,0,Arunachal Pradesh
25.51958,91.034865,0,Meghalaya
23.238702,92.755377,0,Mizoram
25.234568,90.341263,0,Meghalaya
25.874193,92.143145,0,Meghalaya
26.439673,91.193174,0,Assam
26.8116,95.431511,0,Arunachal Pradesh
26.88128,94.815837,0,Assam
26.325683,91.146123,0,Assam
27.196735,97.109225,0,Arunachal Pradesh
26.418265,91.696958,0,Assam
26.983274,95.656728,0,Arunachal Pradesh
27.49999,95.805014,0,Assam
25.901627,94.455615,0,Nagaland
25.126557,94.08533,0,Manipur
28.59055,95.86293,0,Arunachal Pradesh
23.161097,91.553711,0,Tripura
27.743251,95.827445,0,Arunachal Pradesh
24.084381,92.18805,0,Tripura
