sl_no,latitude,longitude,elevation_m,slope_degrees
1,24.27,92.5,41.0,10.555380466061173
2,24.31,92.56,46.0,2.698950908923438
3,24.32,92.51,81.0,8.47871314708616
4,24.43,92.55,38.0,4.044691235386269
5,24.44,92.5,201.0,25.8493248967401
6,24.44,92.56,36.0,0.9548412538721887
7,24.46,92.52,104.0,3.931095784160226
8,24.478972,92.682861,65.0,15.922779458176539
9,24.48,92.49,56.0,15.06995574963759
10,24.51,92.64,60.0,8.049466975528398
11,24.51,92.75,144.0,2.1342998941463125
12,24.51,92.9,81.0,14.506372352544124
13,24.51,92.71,34.0,4.857533338413092
14,24.511306,92.693028,45.0,5.128711509483252
15,24.515944,92.540889,57.0,14.592550602033427
16,24.52,92.53,68.0,5.385977098599754
17,24.53,92.63,33.0,4.763641690726178
18,24.53,92.84,31.0,1.3502244696996157
19,24.53,92.84,31.0,1.3502244696996157
20,24.54,92.63,49.0,2.1342998941463125
21,24.55,92.74,56.0,6.091478002079769
22,24.55,92.75,49.0,2.698950908923438
23,24.55,92.75,49.0,2.698950908923438
24,24.56,92.94,43.0,7.653048720543413
26,24.62,92.83,35.0,4.857533338413092
27,24.62,92.84,39.0,7.2338446967252255
28,24.63,92.74,71.0,9.321835749415003
29,24.64,92.98,34.0,2.1342998941463125
30,24.645417,93.005361,359.0,30.82665955230447
31,24.659389,92.497361,33.0,4.763641690726178
32,24.70364,92.64681,48.0,12.225122675735754
34,24.70656,92.65008,49.0,3.016961309815993
35,24.710833,92.481167,48.0,17.29444852858009
36,24.72192,92.90381,39.0,10.555380466061171
37,24.73117,92.64739,39.0,11.499465999742787
38,24.78002778,92.45372222,44.0,15.06995574963759
39,24.78380556,92.45563889,33.0,14.763132623631552
40,24.79489,92.55506,45.0,8.735690934280582
43,24.92097,93.07306,61.0,14.763132623631552
44,24.93,92.84,51.0,5.128711509483252
45,24.95,92.73,63.0,1.9091524329963763
46,24.95,92.8,37.0,6.91817481667161
47,24.96,92.92,40.0,4.763641690726177
