latitude,longitude,event_date,soil_wetness_gwet_top,soil_moisture_source
24.478972,92.682861,2016-05-17,0.93,NASA_POWER_MERRA2
24.511306,92.693028,2016-05-18,0.95,NASA_POWER_MERRA2
24.515944,92.540889,2016-05-18,0.95,NASA_POWER_MERRA2
24.645417,93.005361,2016-08-31,0.91,NASA_POWER_MERRA2
24.659389,92.497361,2016-05-18,0.95,NASA_POWER_MERRA2
24.70656,92.65008,2020-06-02,0.91,NASA_POWER_MERRA2
24.710833,92.481167,2010-06-03,0.93,NASA_POWER_MERRA2
24.72192,92.90381,2020-06-05,0.84,NASA_POWER_MERRA2
24.73117,92.64739,2020-06-02,0.91,NASA_POWER_MERRA2
24.78002778,92.45372222,2020-06-02,0.97,NASA_POWER_MERRA2
24.78380556,92.45563889,2020-06-02,0.97,NASA_POWER_MERRA2
24.79489,92.55506,2020-06-02,0.97,NASA_POWER_MERRA2
24.92097,93.07306,2020-06-02,0.91,NASA_POWER_MERRA2
25.121,92.915028,2010-06-20,0.89,NASA_POWER_MERRA2
25.124306,92.904278,2010-04-02,0.83,NASA_POWER_MERRA2
25.124583,92.989111,2010-06-16,0.89,NASA_POWER_MERRA2
25.146306,93.942167,2018-06-14,0.92,NASA_POWER_MERRA2
25.224278,93.222861,2018-06-14,0.96,NASA_POWER_MERRA2
25.229556,93.1556,2010-04-02,0.83,NASA_POWER_MERRA2
26.098167,91.881278,2018-06-14,0.9,NASA_POWER_MERRA2
26.11,94.76,2018-06-14,0.89,NASA_POWER_MERRA2
26.112667,91.853889,2018-08-24,0.93,NASA_POWER_MERRA2
26.1505375,91.72798139,2023-06-17,0.85,NASA_POWER_MERRA2
26.15428,91.79264,2017-06-13,0.93,NASA_POWER_MERRA2
26.17672,91.76525,2017-06-13,0.93,NASA_POWER_MERRA2
26.17756,91.76589,2017-06-13,0.93,NASA_POWER_MERRA2
26.18842,91.85125,2017-06-16,0.94,NASA_POWER_MERRA2
26.19081,91.84528,2017-07-04,0.94,NASA_POWER_MERRA2
26.195306,91.765639,2018-08-24,0.93,NASA_POWER_MERRA2
26.19622,91.76336,2011-03-23,0.66,NASA_POWER_MERRA2
26.20536,91.86497,2017-07-03,0.93,NASA_POWER_MERRA2
26.37456,91.84561,2017-07-04,0.88,NASA_POWER_MERRA2
26.88969,92.12266,2021-04-28,0.64,NASA_POWER_MERRA2
26.89074,92.12068,2021-04-28,0.64,NASA_POWER_MERRA2
26.11464,91.83886,2024-07-05,0.95,NASA_POWER_MERRA2
26.19044,91.77502,2024-05-24,0.67,NASA_POWER_MERRA2
25.16736,93.00953,2022-05-15,0.92,NASA_POWER_MERRA2
25.16023,93.01084,2022-05-14,0.94,NASA_POWER_MERRA2
25.16579,93.00948,2022-05-14,0.94,NASA_POWER_MERRA2
25.15859,93.01292,2022-05-14,0.94,NASA_POWER_MERRA2
26.13441667,91.74875,2014-09-22,0.97,NASA_POWER_MERRA2
25.15556,93.021583,2022-05-14,0.94,NASA_POWER_MERRA2
25.158138,93.024778,2022-05-15,0.92,NASA_POWER_MERRA2
25.24194444,93.14319444,2016-05-22,0.93,NASA_POWER_MERRA2
25.16804,93.02503,2022-05-14,0.94,NASA_POWER_MERRA2
25.168083,93.024922,2022-05-14,0.94,NASA_POWER_MERRA2
25.27480556,93.14555556,2016-05-22,0.89,NASA_POWER_MERRA2
25.18955556,93.09641667,2016-05-22,0.93,NASA_POWER_MERRA2
26.19552778,91.78055556,2016-06-22,0.92,NASA_POWER_MERRA2
25.17483,93.019861,2022-05-15,0.92,NASA_POWER_MERRA2
25.1568056,93.019722,2022-05-13,0.94,NASA_POWER_MERRA2
25.16427,92.99788,2022-05-15,0.92,NASA_POWER_MERRA2
25.162667,93.009806,2022-05-14,0.94,NASA_POWER_MERRA2
25.16553,93.02172,2022-05-15,0.92,NASA_POWER_MERRA2
25.17986111,93.07077778,2016-05-17,0.96,NASA_POWER_MERRA2
25.14677778,93.03097222,2016-05-17,0.96,NASA_POWER_MERRA2
25.15561111,93.02222222,2016-05-17,0.96,NASA_POWER_MERRA2
25.15658333,93.01961111,2016-05-22,0.93,NASA_POWER_MERRA2
25.15713889,93.01719444,2016-05-27,0.89,NASA_POWER_MERRA2
25.164,93.04019444,2016-05-22,0.93,NASA_POWER_MERRA2
25.14872222,93.03191667,2016-05-17,0.96,NASA_POWER_MERRA2
25.14525,93.02916667,2016-05-17,0.96,NASA_POWER_MERRA2
25.15572222,93.02277778,2016-05-22,0.93,NASA_POWER_MERRA2
25.20552778,93.02013889,2016-05-22,0.93,NASA_POWER_MERRA2
25.24597222,93.02827778,2016-05-22,0.93,NASA_POWER_MERRA2
26.19052,91.77499,2024-05-24,0.67,NASA_POWER_MERRA2
25.15933333,93.017,2016-05-22,0.93,NASA_POWER_MERRA2
