sl_no,latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,historical_landslide,rainfall_source
8,24.478972,92.682861,2016-05-17,129.30499267578125,65.0,15.92277945817654,1,IMERG_Final_V07
14,24.511306,92.693028,2016-05-18,53.01000213623047,45.0,5.128711509483252,1,IMERG_Final_V07
15,24.515944,92.540889,2016-05-18,50.285003662109375,57.0,14.592550602033429,1,IMERG_Final_V07
30,24.645417,93.005361,2016-08-31,36.660003662109375,359.0,30.82665955230447,1,IMERG_Final_V07
31,24.659389,92.497361,2016-05-18,57.20500183105469,33.0,4.763641690726178,1,IMERG_Final_V07
34,24.70656,92.65008,2020-06-02,47.53998565673828,49.0,3.016961309815993,1,IMERG_Final_V07
35,24.710833,92.481167,2010-06-03,36.915000915527344,48.0,17.29444852858009,1,IMERG_Final_V07
36,24.72192,92.90381,2020-06-05,5.550000190734863,39.0,10.555380466061171,1,IMERG_Final_V07
37,24.73117,92.64739,2020-06-02,47.53998565673828,39.0,11.499465999742789,1,IMERG_Final_V07
38,24.78002778,92.45372222,2020-06-02,32.44499969482422,44.0,15.06995574963759,1,IMERG_Final_V07
39,24.78380556,92.45563889,2020-06-02,32.44499969482422,33.0,14.763132623631552,1,IMERG_Final_V07
40,24.79489,92.55506,2020-06-02,44.86499786376953,45.0,8.735690934280582,1,IMERG_Final_V07
43,24.92097,93.07306,2020-06-02,83.93000030517578,61.0,14.763132623631552,1,IMERG_Final_V07
132,25.121,92.915028,2010-06-20,2.4099996089935303,306.0,18.370345512861498,1,IMERG_Final_V07
137,25.124306,92.904278,2010-04-02,38.2599983215332,283.0,21.33126583595921,1,IMERG_Final_V07
138,25.124583,92.989111,2010-06-16,17.60000228881836,526.0,20.21263223645209,1,IMERG_Final_V07
163,25.146306,93.942167,2018-06-14,20.190000534057617,1287.0,14.763132623631552,1,IMERG_Final_V07
242,25.224278,93.222861,2018-06-14,75.31999969482422,619.0,10.43076019506472,1,IMERG_Final_V07
243,25.229556,93.1556,2010-04-02,18.2549991607666,466.0,18.305448954250743,1,IMERG_Final_V07
452,26.098167,91.881278,2018-06-14,56.26499938964844,83.0,4.857533338413092,1,IMERG_Final_V07
469,26.11,94.76,2018-06-14,5.744999408721924,1005.0,23.428692808745403,1,IMERG_Final_V07
474,26.112667,91.853889,2018-08-24,17.975000381469727,188.0,25.8493248967401,1,IMERG_Final_V07
488,26.1505375,91.72798139,2023-06-17,49.63999938964844,76.0,17.387333467314576,1,IMERG_Final_V07
490,26.15428,91.79264,2017-06-13,83.35499572753906,78.0,7.653048720543413,1,IMERG_Final_V07
503,26.17672,91.76525,2017-06-13,83.35499572753906,87.0,17.5484006137923,1,IMERG_Final_V07
504,26.17756,91.76589,2017-06-13,83.35499572753906,96.0,17.29444852858009,1,IMERG_Final_V07
506,26.18842,91.85125,2017-06-16,78.80998992919922,96.0,30.10305246289624,1,IMERG_Final_V07
513,26.19081,91.84528,2017-07-04,24.37999725341797,67.0,22.42335855928612,1,IMERG_Final_V07
517,26.195306,91.765639,2018-08-24,24.400001525878903,85.0,6.853224835121291,1,IMERG_Final_V07
519,26.19622,91.76336,2011-03-23,0.0,90.0,4.857533338413092,1,IMERG_Final_V07
522,26.20536,91.86497,2017-07-03,8.079999923706055,69.0,15.042369244334246,1,IMERG_Final_V07
548,26.37456,91.84561,2017-07-04,16.039997100830078,61.0,4.262693045214654,1,IMERG_Final_V07
589,26.88969,92.12266,2021-04-28,0.7800000905990601,261.0,47.2228541808757,1,IMERG_Final_V07
590,26.89074,92.12068,2021-04-28,0.7800000905990601,228.0,42.850890051218336,1,IMERG_Final_V07
614,26.11464,91.83886,2024-07-05,20.88999938964844,175.0,17.775317038209,1,IMERG_Final_V07
615,26.19044,91.77502,2024-05-24,0.0,109.0,10.555380466061171,1,IMERG_Final_V07
623,25.16736,93.00953,2022-05-15,73.8550033569336,630.0,19.370844026969944,1,IMERG_Final_V07
624,25.16023,93.01084,2022-05-14,66.88500213623047,591.0,20.43931757325825,1,IMERG_Final_V07
632,25.16579,93.00948,2022-05-14,66.88500213623047,581.0,17.752790161946685,1,IMERG_Final_V07
633,25.15859,93.01292,2022-05-14,66.88500213623047,586.0,13.915808695897177,1,IMERG_Final_V07
634,26.13441667,91.74875,2014-09-22,170.47999572753906,107.0,7.2338446967252255,1,IMERG_Final_V07
640,25.15556,93.021583,2022-05-14,66.88500213623047,610.0,10.21937711459359,1,IMERG_Final_V07
642,25.158138,93.024778,2022-05-15,73.8550033569336,543.0,6.91817481667161,1,IMERG_Final_V07
643,25.24194444,93.14319444,2016-05-22,0.4599999785423279,624.0,22.61986494804043,1,IMERG_Final_V07
647,25.16804,93.02503,2022-05-14,66.88500213623047,485.0,21.04572088407584,1,IMERG_Final_V07
649,25.168083,93.024922,2022-05-14,66.88500213623047,485.0,21.04572088407584,1,IMERG_Final_V07
650,25.27480556,93.14555556,2016-05-22,0.4599999785423279,497.0,15.06995574963759,1,IMERG_Final_V07
651,25.18955556,93.09641667,2016-05-22,0.7149999737739563,535.0,24.591248866909307,1,IMERG_Final_V07
654,26.19552778,91.78055556,2016-06-22,8.734999656677246,165.0,18.94158858012096,1,IMERG_Final_V07
655,25.17483,93.019861,2022-05-15,73.8550033569336,650.0,31.06099134268408,1,IMERG_Final_V07
656,25.1568056,93.019722,2022-05-13,74.77999114990234,638.0,28.280269845499703,1,IMERG_Final_V07
664,25.16427,92.99788,2022-05-15,64.22000885009766,497.0,21.33126583595921,1,IMERG_Final_V07
666,25.162667,93.009806,2022-05-14,66.88500213623047,570.0,18.96231828867539,1,IMERG_Final_V07
667,25.16553,93.02172,2022-05-15,73.8550033569336,630.0,28.98757825007264,1,IMERG_Final_V07
668,25.17986111,93.07077778,2016-05-17,116.25999450683594,512.0,4.763641690726178,1,IMERG_Final_V07
669,25.14677778,93.03097222,2016-05-17,116.25999450683594,483.0,22.22435314380804,1,IMERG_Final_V07
670,25.15561111,93.02222222,2016-05-17,116.25999450683594,617.0,17.752790161946685,1,IMERG_Final_V07
671,25.15658333,93.01961111,2016-05-22,0.7149999737739563,624.0,23.428692808745403,1,IMERG_Final_V07
672,25.15713889,93.01719444,2016-05-27,3.6050000190734863,651.0,34.730518200788445,1,IMERG_Final_V07
673,25.164,93.04019444,2016-05-22,0.7149999737739563,450.0,17.93200256558677,1,IMERG_Final_V07
683,25.14872222,93.03191667,2016-05-17,116.25999450683594,451.0,29.83376877992044,1,IMERG_Final_V07
684,25.14525,93.02916667,2016-05-17,116.25999450683594,542.0,27.5172599283964,1,IMERG_Final_V07
685,25.15572222,93.02277778,2016-05-22,0.7149999737739563,613.0,27.32389130134654,1,IMERG_Final_V07
694,25.20552778,93.02013889,2016-05-22,0.199999988079071,346.0,17.387333467314576,1,IMERG_Final_V07
695,25.24597222,93.02827778,2016-05-22,0.199999988079071,604.0,19.451200005616776,1,IMERG_Final_V07
700,26.19052,91.77499,2024-05-24,0.0,109.0,10.555380466061171,1,IMERG_Final_V07
701,25.15933333,93.017,2016-05-22,0.7149999737739563,685.0,7.2338446967252255,1,IMERG_Final_V07
705,25.15736111,93.01608333,2016-05-22,0.7149999737739563,641.0,27.79130564477921,1,IMERG_Final_V07
706,25.23880556,93.03219444,2016-05-22,0.199999988079071,569.0,16.601549599020238,1,IMERG_Final_V07
707,25.19669444,93.01858333,2016-05-22,0.7149999737739563,453.0,23.021526638116164,1,IMERG_Final_V07
708,25.18844444,93.01966667,2016-05-22,0.7149999737739563,522.0,27.17735741799749,1,IMERG_Final_V07
710,25.17597222,93.02016667,2016-05-22,0.7149999737739563,590.0,27.078936947526696,1,IMERG_Final_V07
711,25.17505556,93.02041667,2016-05-22,0.7149999737739563,574.0,24.22774531795417,1,IMERG_Final_V07
712,25.17188889,93.02061111,2016-05-22,0.7149999737739563,575.0,44.36965489983547,1,IMERG_Final_V07
713,25.16563889,93.02544444,2016-05-22,0.7149999737739563,516.0,13.03657849691309,1,IMERG_Final_V07
714,25.16344444,93.02316667,2016-05-22,0.7149999737739563,557.0,18.96231828867539,1,IMERG_Final_V07
715,25.15069444,93.02583333,2016-05-22,0.7149999737739563,672.0,15.81919394750014,1,IMERG_Final_V07
716,25.14586111,93.02419444,2016-05-22,0.7149999737739563,704.0,17.571258778322424,1,IMERG_Final_V07
717,25.14041667,93.02038889,2016-05-22,0.7149999737739563,732.0,28.002640063185417,1,IMERG_Final_V07
